Namespace(batch_size=32, binary=True, checkinfo=False, data_dir='/scratch/project_2003455/cloud/vnn/data', dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=200, k=20, lr=0.001, model='svnet', momentum=0.9, multi=1, num_points=1024, num_workers=8, pooling='mean', resume=False, resume_from=None, rot='z', rot_test='so3', save_dir='/scratch/project_2002243/zhuo/vnbnn/exp_069', seed=1, test=None, wd=0.0)
EPOCH 000/200 | Test: loss 3.628396, acc 0.059562, avg acc 0.036750 | Train: loss 3.571557, acc 0.089475, avg acc 0.032164 | lr 0.00100000 | 2022-02-16-09-09-55
EPOCH 001/200 | Test: loss 3.425249, acc 0.124797, avg acc 0.077163 | Train: loss 3.441119, acc 0.129479, avg acc 0.054874 | lr 0.00100000 | 2022-02-16-09-10-24
EPOCH 002/200 | Test: loss 3.233314, acc 0.186791, avg acc 0.119512 | Train: loss 3.299816, acc 0.173046, avg acc 0.084433 | lr 0.00100000 | 2022-02-16-09-10-54
EPOCH 003/200 | Test: loss 3.088234, acc 0.230146, avg acc 0.154953 | Train: loss 3.205742, acc 0.205924, avg acc 0.107243 | lr 0.00100000 | 2022-02-16-09-11-23
EPOCH 004/200 | Test: loss 3.104602, acc 0.221232, avg acc 0.154721 | Train: loss 3.145355, acc 0.223432, avg acc 0.122622 | lr 0.00100000 | 2022-02-16-09-11-52
EPOCH 005/200 | Test: loss 3.042123, acc 0.224068, avg acc 0.152576 | Train: loss 3.106959, acc 0.234833, avg acc 0.134084 | lr 0.00100000 | 2022-02-16-09-12-22
EPOCH 006/200 | Test: loss 3.045603, acc 0.250000, avg acc 0.171797 | Train: loss 3.068696, acc 0.248677, avg acc 0.144605 | lr 0.00100000 | 2022-02-16-09-12-51
EPOCH 007/200 | Test: loss 2.892304, acc 0.295381, avg acc 0.231349 | Train: loss 3.037133, acc 0.262215, avg acc 0.159521 | lr 0.00100000 | 2022-02-16-09-13-20
EPOCH 008/200 | Test: loss 2.895164, acc 0.305511, avg acc 0.241169 | Train: loss 2.974480, acc 0.285118, avg acc 0.175250 | lr 0.00100000 | 2022-02-16-09-13-50
EPOCH 009/200 | Test: loss 2.835982, acc 0.316045, avg acc 0.239791 | Train: loss 2.938218, acc 0.303033, avg acc 0.191496 | lr 0.00100000 | 2022-02-16-09-14-19
EPOCH 010/200 | Test: loss 2.809660, acc 0.306726, avg acc 0.252145 | Train: loss 2.887043, acc 0.313518, avg acc 0.204832 | lr 0.00100000 | 2022-02-16-09-14-48
