Namespace(batch_size=32, binary=False, checkinfo=False, data_dir='/scratch/project_2003455/cloud/vnn/data', dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=200, k=20, lr=0.001, model='svnet', momentum=0.9, multi=1, num_points=1024, num_workers=8, pooling='mean', resume=False, resume_from=None, rot='z', rot_test='so3', save_dir='/scratch/project_2002243/zhuo/vnbnn/exp_068', seed=1, test=None, wd=0.0001)
EPOCH 000/200 | Test: loss 3.013636, acc 0.253647, avg acc 0.176762 | Train: loss 3.301390, acc 0.182207, avg acc 0.085244 | lr 0.00100000 | 2022-02-16-09-09-53
EPOCH 001/200 | Test: loss 2.802272, acc 0.330227, avg acc 0.249581 | Train: loss 2.957791, acc 0.300896, avg acc 0.177774 | lr 0.00100000 | 2022-02-16-09-10-20
EPOCH 002/200 | Test: loss 2.681066, acc 0.380065, avg acc 0.298471 | Train: loss 2.788353, acc 0.369401, avg acc 0.236119 | lr 0.00100000 | 2022-02-16-09-10-47
EPOCH 003/200 | Test: loss 2.666885, acc 0.404781, avg acc 0.313453 | Train: loss 2.680148, acc 0.410932, avg acc 0.277702 | lr 0.00100000 | 2022-02-16-09-11-14
EPOCH 004/200 | Test: loss 2.496775, acc 0.467585, avg acc 0.368122 | Train: loss 2.623215, acc 0.434446, avg acc 0.294873 | lr 0.00100000 | 2022-02-16-09-11-40
EPOCH 005/200 | Test: loss 2.497039, acc 0.484603, avg acc 0.400029 | Train: loss 2.553991, acc 0.462744, avg acc 0.328631 | lr 0.00100000 | 2022-02-16-09-12-07
EPOCH 006/200 | Test: loss 2.510168, acc 0.458671, avg acc 0.386198 | Train: loss 2.514514, acc 0.479133, avg acc 0.345051 | lr 0.00100000 | 2022-02-16-09-12-34
EPOCH 007/200 | Test: loss 2.408631, acc 0.519044, avg acc 0.422738 | Train: loss 2.466938, acc 0.503359, avg acc 0.367325 | lr 0.00100000 | 2022-02-16-09-13-01
EPOCH 008/200 | Test: loss 2.332061, acc 0.566856, avg acc 0.499070 | Train: loss 2.425577, acc 0.512113, avg acc 0.387963 | lr 0.00100000 | 2022-02-16-09-13-28
EPOCH 009/200 | Test: loss 2.446579, acc 0.530389, avg acc 0.450448 | Train: loss 2.398917, acc 0.538274, avg acc 0.416576 | lr 0.00100000 | 2022-02-16-09-13-55
EPOCH 010/200 | Test: loss 2.230449, acc 0.607780, avg acc 0.541390 | Train: loss 2.379359, acc 0.537459, avg acc 0.414760 | lr 0.00100000 | 2022-02-16-09-14-21
EPOCH 011/200 | Test: loss 2.254549, acc 0.576985, avg acc 0.502483 | Train: loss 2.340063, acc 0.553135, avg acc 0.437135 | lr 0.00100000 | 2022-02-16-09-14-48
EPOCH 012/200 | Test: loss 2.201335, acc 0.617909, avg acc 0.537640 | Train: loss 2.314006, acc 0.569422, avg acc 0.455786 | lr 0.00100000 | 2022-02-16-09-15-15
EPOCH 013/200 | Test: loss 2.268607, acc 0.591977, avg acc 0.534006 | Train: loss 2.289723, acc 0.576547, avg acc 0.465823 | lr 0.00100000 | 2022-02-16-09-15-42
EPOCH 014/200 | Test: loss 2.197653, acc 0.611021, avg acc 0.563151 | Train: loss 2.287065, acc 0.578379, avg acc 0.465531 | lr 0.00100000 | 2022-02-16-09-16-08
EPOCH 015/200 | Test: loss 2.205787, acc 0.596029, avg acc 0.518547 | Train: loss 2.260995, acc 0.587846, avg acc 0.477708 | lr 0.00100000 | 2022-02-16-09-16-35
EPOCH 016/200 | Test: loss 2.249492, acc 0.591572, avg acc 0.506808 | Train: loss 2.233090, acc 0.596906, avg acc 0.493117 | lr 0.00100000 | 2022-02-16-09-17-02
EPOCH 017/200 | Test: loss 2.248694, acc 0.594003, avg acc 0.525145 | Train: loss 2.218078, acc 0.610444, avg acc 0.505008 | lr 0.00100000 | 2022-02-16-09-17-29
EPOCH 018/200 | Test: loss 2.232373, acc 0.596434, avg acc 0.525035 | Train: loss 2.202054, acc 0.616144, avg acc 0.512799 | lr 0.00100000 | 2022-02-16-09-17-56
EPOCH 019/200 | Test: loss 2.108907, acc 0.648298, avg acc 0.571442 | Train: loss 2.189080, acc 0.620419, avg acc 0.518541 | lr 0.00100000 | 2022-02-16-09-18-22
EPOCH 020/200 | Test: loss 2.192870, acc 0.619530, avg acc 0.543948 | Train: loss 2.127797, acc 0.644442, avg acc 0.544154 | lr 0.00070000 | 2022-02-16-09-18-49
EPOCH 021/200 | Test: loss 1.983095, acc 0.722042, avg acc 0.643640 | Train: loss 2.116574, acc 0.649939, avg acc 0.551349 | lr 0.00070000 | 2022-02-16-09-19-16
EPOCH 022/200 | Test: loss 1.984816, acc 0.715559, avg acc 0.640651 | Train: loss 2.102886, acc 0.659406, avg acc 0.559483 | lr 0.00070000 | 2022-02-16-09-19-43
EPOCH 023/200 | Test: loss 2.078393, acc 0.674635, avg acc 0.615459 | Train: loss 2.088593, acc 0.663172, avg acc 0.567819 | lr 0.00070000 | 2022-02-16-09-20-10
EPOCH 024/200 | Test: loss 1.996328, acc 0.716775, avg acc 0.629663 | Train: loss 2.066341, acc 0.673046, avg acc 0.577857 | lr 0.00070000 | 2022-02-16-09-20-37
EPOCH 025/200 | Test: loss 2.033071, acc 0.699757, avg acc 0.641122 | Train: loss 2.052112, acc 0.682309, avg acc 0.589488 | lr 0.00070000 | 2022-02-16-09-21-04
EPOCH 026/200 | Test: loss 1.924502, acc 0.744733, avg acc 0.657343 | Train: loss 2.038395, acc 0.683734, avg acc 0.595750 | lr 0.00070000 | 2022-02-16-09-21-31
EPOCH 027/200 | Test: loss 2.052550, acc 0.687601, avg acc 0.636215 | Train: loss 2.032320, acc 0.686787, avg acc 0.601195 | lr 0.00070000 | 2022-02-16-09-21-58
EPOCH 028/200 | Test: loss 2.000108, acc 0.700972, avg acc 0.651110 | Train: loss 2.013352, acc 0.697170, avg acc 0.610833 | lr 0.00070000 | 2022-02-16-09-22-25
EPOCH 029/200 | Test: loss 1.946059, acc 0.737844, avg acc 0.667047 | Train: loss 2.010353, acc 0.696865, avg acc 0.607954 | lr 0.00070000 | 2022-02-16-09-22-51
EPOCH 030/200 | Test: loss 1.976139, acc 0.726904, avg acc 0.662337 | Train: loss 1.994103, acc 0.702972, avg acc 0.613095 | lr 0.00070000 | 2022-02-16-09-23-18
EPOCH 031/200 | Test: loss 1.976996, acc 0.713128, avg acc 0.660029 | Train: loss 1.983098, acc 0.712439, avg acc 0.626344 | lr 0.00070000 | 2022-02-16-09-23-45
EPOCH 032/200 | Test: loss 1.901834, acc 0.756078, avg acc 0.680273 | Train: loss 1.968770, acc 0.717630, avg acc 0.630415 | lr 0.00070000 | 2022-02-16-09-24-12
EPOCH 033/200 | Test: loss 2.108001, acc 0.669368, avg acc 0.578616 | Train: loss 1.958515, acc 0.719768, avg acc 0.639272 | lr 0.00070000 | 2022-02-16-09-24-39
EPOCH 034/200 | Test: loss 1.972173, acc 0.717180, avg acc 0.636552 | Train: loss 1.949627, acc 0.724247, avg acc 0.645057 | lr 0.00070000 | 2022-02-16-09-25-06
EPOCH 035/200 | Test: loss 2.006426, acc 0.715154, avg acc 0.645360 | Train: loss 1.944567, acc 0.727504, avg acc 0.647621 | lr 0.00070000 | 2022-02-16-09-25-33
EPOCH 036/200 | Test: loss 1.991928, acc 0.720421, avg acc 0.670808 | Train: loss 1.929479, acc 0.735138, avg acc 0.653603 | lr 0.00070000 | 2022-02-16-09-26-00
